Project,Hole,From_m,To_m,Alt_Group,Alt_Intensity,Alt_Style,Alt1,Alt1_Int,Alt2,Alt2_Int,Alt3,Alt3_Int,Alt4,Alt4_Int,Alt5,Alt5_Int,Comments,Relog,Logger,Timestamp
GCL,KAD17-001,11.5,24.89,FuQtzCarb,2,PER,FU,2,QZ,3,CB,3,CL,3,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,24.89,28.93,Carb,2,PER,CB,2,MS,1,FU,1,,,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,28.93,32.26,ChlQtzCarb,3,PER,CB,3,CL,3,QZ,2,TA,2,FU,1,Pervasive Carb-Chl altn with minor talc on foliation planes and irregular blebby quartz veins,0,Blackwell,3/24/2017
GCL,KAD17-001,32.26,35.77,QtzCarb,2,PER,CB,3,QZ,2,AB,3,MS,2,CL,2,Pervasive carbonate alteration +- sericite/chlorite. Irregular patchy strong albite alteration.,0,Blackwell,3/24/2017
GCL,KAD17-001,35.77,42.85,FuQtzCarb,3,PAT,CB,3,QZ,3,FU,2,CL,3,,,Irregular or patchy qtz-carb altn and veins. Weak fuchsite alteration.,0,Blackwell,3/24/2017
GCL,KAD17-001,42.85,49.35,Albite,3,FRC,AB,3,CB,3,CL,2,,,,,albite-carbonate alteration bands and chlorite altered bands.,0,Blackwell,3/17/2017
GCL,KAD17-001,49.35,51.99,Albite,4,PER,AB,4,CL,2,,,,,,,,0,Blackwell,3/17/2017
GCL,KAD17-001,51.99,62.25,FuQtzCarb,3,PER,CB,4,QZ,3,FU,2,,,,,Grey to green ultramafic with dark grey domains of quartz-carbonate and weaker fuchsite alteration.,0,Blackwell,3/24/2017
GCL,KAD17-001,62.25,66.8,FuQtzCarb,4,PER,QZ,4,FU,4,CB,3,,,,,Strong fuchsite alteration of ultramafic and strong quartz alteration with thin black quartz veinsdefining the rock fabric.,0,Blackwell,3/24/2017
GCL,KAD17-001,66.8,67.3,Qtz,5,PER,QZ,5,CL,2,,,,,,,Very strong siliceous alteration with a weak chlorite infill.,0,Blackwell,3/18/2017
GCL,KAD17-001,67.3,78.38,Qtz,3,PER,QZ,3,CL,3,GR,2,FU,2,,,Strong siliceous alteration and chlorite-graphite-sulfides along foliation and fracture planes. Weak minor fuchsite altereation locally,0,Blackwell,3/20/2017
GCL,KAD17-001,78.38,89.2,NA,NA,,,,,,,,,,,,Not applicable - void,0,Blackwell,9/3/2017
GCL,KAD17-001,89.2,103.85,SerQtzCarb,3,PER,CB,3,MS,3,CL,2,FU,1,,,Pervasive carbonate-sericite alteratin with fracture controlled chlorite altn. Chlorite altn appears to be relict or replaced by carbonate-sericite. Trace fuchsite and gradational to a fuchite rich domain.,0,Blackwell,3/24/2017
GCL,KAD17-001,103.85,136.94,FuQtzCarb,4,PER,FU,4,CB,4,QZ,4,,,,,Strong pervasive quartz-carb fuchsite altn.,0,Blackwell,3/24/2017
GCL,KAD17-001,136.94,145.44,SerQtzCarb,3,PER,CB,4,QZ,3,MS,3,CL,2,FU,1,"Relict Brown quartz-carb sericite altered domains cross-cut by fracture controlled grey quartz-carb altn. Minor patchy fuchsite alteration, locally associated with the quartz vein envelopes.",0,Blackwell,3/24/2017
GCL,KAD17-001,145.44,146.4,FuQtzCarb,3,PER,CB,4,QZ,3,FU,3,CL,2,,,Grey quartz-carb domains and wispy domains of fuchsite-chlorite altd um.,0,Blackwell,3/24/2017
GCL,KAD17-001,146.4,147.02,Albite,4,PER,AB,4,QZ,3,CB,3,,,,,Strong pervasive albite alteration.,0,Blackwell,3/20/2017
GCL,KAD17-001,147.02,161.27,FuQtzCarb,4,PER,CB,4,QZ,4,FU,4,CL,2,,,Strong fuchsite altn of ragged wispy ultramafic isolated in domains of grey-white quartz-carbonate alteration.,0,Blackwell,3/24/2017
GCL,KAD17-001,161.27,165.42,QtzCarb,3,PER,CB,4,QZ,3,FU,1,CL,,MS,1,"Brown ragged fragments of UM with a patchy ""infill"" of grey carbonate alteration.",0,Blackwell,3/24/2017
GCL,KAD17-001,165.42,167.67,FuQtzCarb,3,PER,CB,4,QZ,3,FU,3,CL,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,167.67,173.08,QtzCarb,3,PER,CB,3,QZ,2,CL,3,FU,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,173.08,176.09,FuQtzCarb,3,PER,CB,4,QZ,3,FU,4,CL,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,176.09,178.51,QtzCarb,3,PER,CB,3,QZ,3,MS,2,CL,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,178.51,179.68,Albite,3,PER,AB,3,QZ,3,MS,3,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,179.68,182.23,SerQtzCarb,3,PER,CB,3,QZ,3,MS,3,CL,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,182.23,183.66,FuQtzCarb,4,PER,CB,4,QZ,4,FU,4,CL,2,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,183.66,185.09,SerQtzCarb,3,PER,CB,3,QZ,3,MS,3,AB,3,,,,0,Blackwell,3/24/2017
GCL,KAD17-001,185.09,186.83,FuQtzCarb,3,PER,CB,3,QZ,3,FU,2,MS,2,,,,0,Blackwell,3/24/2017
