Project,Hole,From_m,To_m,Interval_Length,Recovery_m,Recovery_Pct,RQD_m,RQD_Pct,Hardness,Weathering,Num_Fractures,Fractures_per_m,Fracture_Infill,Roughness,Shape,Comments,Relog,Logger,Timestamp
ARM,RELOG_EC-11-03,2.22,3.05,0.83,,,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,3.05,6.1,3.05,2.68224,87.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,6.1,9.14,3.04,3.048,100.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,9.14,12.19,3.05,2.7432,89.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,12.19,15.24,3.05,3.10896,101.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,15.24,18.29,3.05,2.77368,90.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,18.29,21.34,3.05,2.98704,97.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,21.34,24.38,3.04,2.92608,96.25,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,24.38,27.43,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,27.43,30.48,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,30.48,33.53,3.05,2.56032,83.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,33.53,36.58,3.05,2.8956,94.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,36.58,39.62,3.04,2.86512,94.25,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,39.62,42.67,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,42.67,45.72,3.05,1.85928,60.96,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,45.72,48.77,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,48.77,51.82,3.05,2.37744,77.95,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,51.82,54.86,3.04,1.9812,65.17,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,54.86,57.91,3.05,1.9812,64.96,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,57.91,60.96,3.05,2.34696,76.95,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,60.96,64.01,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,64.01,67.06,3.05,2.80416,91.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,67.06,70.1,3.04,3.048,100.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,70.1,73.15,3.05,2.56032,83.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,73.15,76.2,3.05,2.62128,85.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,76.2,79.25,3.05,2.62128,85.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,79.25,82.3,3.05,2.77368,90.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,82.3,85.34,3.04,2.95656,97.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,85.34,88.39,3.05,2.62128,85.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,88.39,91.44,3.05,2.83464,92.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,91.44,94.49,3.05,2.77368,90.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,94.49,97.54,3.05,2.92608,95.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,97.54,100.58,3.04,3.048,100.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,100.58,103.63,3.05,2.92608,95.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,103.63,106.68,3.05,2.92608,95.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,106.68,109.73,3.05,2.65176,86.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,109.73,112.78,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,112.78,115.82,3.04,3.01752,99.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,115.82,118.87,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,118.87,121.92,3.05,2.98704,97.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,121.92,124.97,3.05,2.95656,96.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,124.97,128.02,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,128.02,131.06,3.04,3.048,100.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,131.06,134.11,3.05,2.83464,92.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,134.11,137.16,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,137.16,140.21,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,140.21,143.26,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,143.26,146.3,3.04,3.048,100.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,146.3,149.35,3.05,2.83464,92.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,149.35,152.4,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,152.4,155.45,3.05,2.68224,87.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,155.45,158.5,3.05,2.86512,93.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,158.5,161.54,3.04,2.86512,94.25,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,161.54,164.59,3.05,2.92608,95.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,164.59,167.64,3.05,2.92608,95.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,167.64,170.69,3.05,2.95656,96.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,170.69,173.74,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,173.74,176.78,3.04,2.7432,90.24,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,176.78,179.83,3.05,3.29184,107.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,179.83,182.88,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,182.88,185.93,3.05,2.98704,97.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,185.93,188.98,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,188.98,192.02,3.04,2.95656,97.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,192.02,195.07,3.05,2.86512,93.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,195.07,198.12,3.05,2.92608,95.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,198.12,201.17,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,201.17,204.22,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,204.22,207.26,3.04,2.8956,95.25,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,207.26,210.31,3.05,2.86512,93.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,210.31,213.36,3.05,2.86512,93.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,213.36,216.41,3.05,3.01752,98.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,216.41,219.46,3.05,2.65176,86.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,219.46,222.5,3.04,3.048,100.26,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,222.5,225.55,3.05,2.92608,95.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,225.55,228.6,3.05,2.86512,93.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,228.6,231.65,3.05,2.77368,90.94,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,231.65,234.7,3.05,3.048,99.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,234.7,237.74,3.04,2.92608,96.25,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,237.74,240.79,3.05,3.10896,101.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,240.79,243.84,3.05,3.07848,100.93,,,,,,,,,,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,243.84,246.89,3.05,3.2004,104.93,,,,,,,,,,,0,Shiroki,2017-08-09
