Project,Hole,From_m,To_m,Colour,Oxidation,Foliation,QtzCarb_Replacement_Pct,Lith1_Group,Lith1,Lith1_Texture,Lith1_Bedding,Lith1_Volc_Txt1,Lith1_Volc_Txt2,Comments,ImagePath,Relog,Logger,Timestamp
GCL,KAD17-001,0,11.5,NA,,,,OVB,OVB,,,,,Casing originally placed at 6 m but was a boulder so recassed down to 12m. Appears to be bedrock from 11.5 m onwards.,,0,Blackwell,3/16/2017
GCL,KAD17-001,11.5,24.89,GREY,TO,WK,5,UM,UM,MASS,,,,"Massive to weakly foliated unit with weak fuchsite alteration. Irregular dark grey domains (carb altn). Irregular stockwork of quartz carb veins, and smokey quartz veins. Trace to weak disseminated and blebby pyrite.",,0,Blackwell,3/16/2017
GCL,KAD17-001,24.89,28.93,GREY,UO,NON,1,UM,UM,GRAN,,,,"Grey coloured dominantly massive, fine-grained and graunular, non-foliated unit with very faint fuchsite alteration. Irregular facture pattern accentuated by darker grey alteration; possible relict jointing texture. Weak to sparse disseminated pyrite and chalcopyrite. Could be mafic or ultramafic unit (may be a dyke?)",,0,Blackwell,7/26/2017
GCL,KAD17-001,28.93,32.26,GREY,TO,WK,5,UM,UM,GRAN,,,,Massive grey unit with a granular texture and grey carbonate altn accentuated along an irregular fracture pattern. Chlorite (+- talc) alteration along foliation planes. Irregular and blobby quartz-carb veins throughout. Weak to sparse disseminated pyrite.,,0,Blackwell,3/17/2017
GCL,KAD17-001,32.26,35.77,GREY,TO,NON,0,UM,UM,APHAN,,,,Massive greyish-brown unit with an aphanitic texture and very small needles of rutile (<1mm). Pervasive carbonate alteration +- sericite/chlorite. Irregular patchy strong albite alteration. Trace disseminated pyrite.,,0,Blackwell,7/26/2017
GCL,KAD17-001,35.77,42.85,GREY,TO,NON,15,UM,UM,BRECCIA,,,,Massive grey to green unit with an aphanitic to granular texture and an apparent breccia texture accentuated by an irregular stockwork of quartz-carb veins/altn. Weak fuchsite alteration. Oxidation on fracture surfaces (goethite/limonite) throughout but particularly concentrated at ~ 36m. Weak to moderate disseminated pyrite an cpy. Gradational to lower albitic altered unit.,,0,Blackwell,3/17/2017
GCL,KAD17-001,42.85,49.35,GREY,TO,MOD,10,UM,UM,BAND,,,,"Banded unit with light grey albite-carbonate alteration bands and chlorite altered bands. Strongly foliated and  folded bands and contorted domains. Irregular Qtz-Carb vein network. Weak to trace disseminated pyrite. 
 @49.15-49.35m: Very intense foliation and black chloritic/sulfidic bands, could be a fault or a strongly sheared sedimentary sequence.",,0,Blackwell,7/26/2017
GCL,KAD17-001,49.35,51.99,GREY,TO,ST,0,UM,UM,APHAN,,VAR,,"Grey to tan unit with a stongly albite-quartz alteration and thin irregular wisps of chlorite alteration along foliation planes. Possible varioles (< 5 mm elongate quartz nodules). Moderate, very fine-grained disseminated pyrite.",,0,Blackwell,7/26/2017
GCL,KAD17-001,51.99,62.25,GREY,TO,WK,20,UM,UM,BRECCIA,,,,Grey to green ultramafic with dark grey domains of quartz-carbonate and weaker fuchsite alteration. Apparent breccia texture has a strong orange oxidation around fragment margins. Irregular quartz-carb domains and vein network cross-cut by smokey quartz veins. Moderate to strong disseminated pyrite and chalcopyrite.,,0,Blackwell,3/18/2017
GCL,KAD17-001,62.25,66.8,GREEN,UO,INT,20,UM,UM,BAND,,SPX,,Strongly foliated and banded ultramafic with thin dark (black) quartz veins (<3mm) parallel to foliation. Ultramafic domains have strong fuchsite alteration and a delicate fracture pattern that could be spinifex. Deformed milky quartz-carb veins crosscut by smokey quartz veins that host visible gold. Gold also observed rarely along the foliation planes. Abundant disseminated pyrite and chalcopyrite throughout.,,0,Blackwell,3/18/2017
