Project,Hole,From_m,To_m,Min_Intensity,Min_Style,Min_Pct,VG,Min1,Min2,Min3,Min4,Min5,Comments,Relog,Logger,Timestamp
GCL,KAD17-001,11.5,24.89,2,DIS,0.25,FALSE,PY,CP,,,,Disseminated with minor pyrite blebs,0,Blackwell,3/16/2017
GCL,KAD17-001,24.89,28.93,2,BLP,1,FALSE,PY,CP,,,,"Pods and disseminated pyrite and minor chalcopyrite, particularly enriched along margins of irregular and discontinuous quartz veins.",0,Blackwell,3/17/2017
GCL,KAD17-001,28.93,32.26,1,DIS,0.1,FALSE,PY,,,,,,0,Blackwell,3/17/2017
GCL,KAD17-001,32.26,35.77,1,DIS,0.1,FALSE,PY,,,,,Trace disseminated pyrite.,0,Blackwell,3/17/2017
GCL,KAD17-001,35.77,42.85,3,DIS,1,FALSE,CP,PY,,,,Weak to moderate disseminated pyrite and cpy,0,Blackwell,3/17/2017
GCL,KAD17-001,42.85,49.35,2,DIS,1,FALSE,PY,,,,,Dissseminated pyrite.,0,Blackwell,3/17/2017
GCL,KAD17-001,49.35,51.99,3,DIS,1,FALSE,PY,,,,,,0,Blackwell,3/17/2017
GCL,KAD17-001,51.99,62.25,3,DIS,2,FALSE,PY,CP,,,,,0,Blackwell,3/18/2017
GCL,KAD17-001,62.25,66.8,5,DIS,5,TRUE,VG,CP,PY,,,Abundant disseminated pyrite-chalcopyrite thoughout. Black sulfide disseminated throughout. Visible gold present in at least 4 localities.,0,Blackwell,3/18/2017
GCL,KAD17-001,66.8,67.3,0,,0,FALSE,,,,,,no observed mineralization,0,Blackwell,3/18/2017
GCL,KAD17-001,67.3,78.38,2,DIS,1,FALSE,CP,PY,AS,,,"Moderate to strong disseminated pyrite, chalcopyrite and possible arsenopyrite.",0,Blackwell,3/20/2017
GCL,KAD17-001,78.38,89.2,NA,,,FALSE,,,,,,Void,0,Blackwell,3/20/2017
GCL,KAD17-001,89.2,103.84,3,DIS,1,FALSE,PY,,,,,Disseminated pyrite throughout,0,Blackwell,3/20/2017
GCL,KAD17-001,103.84,117.5,2,DIS,0.25,FALSE,PY,,,,,Trace dissemianted pyrite,0,Blackwell,3/20/2017
GCL,KAD17-001,117.5,124.85,3,DIS,0.5,TRUE,VG,PY,,,,VG in quartz veins. Disseminated pyrite throughout and concentrated along foliation planes.,0,Blackwell,3/20/2017
GCL,KAD17-001,124.85,131,4,DIS,2,FALSE,PY,,,,,"Disseminated pyrite and dark, undifferentiated sulfides.",0,Blackwell,3/20/2017
GCL,KAD17-001,131,136.94,2,DIS,0.5,FALSE,PY,,,,,Trace disseminated pyrite,0,Blackwell,3/20/2017
GCL,KAD17-001,136.94,145.44,2,DIS,0.5,FALSE,PY,,,,,Disseminated pyrite throughout.,0,Blackwell,3/20/2017
GCL,KAD17-001,145.44,146.4,2,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,3/20/2017
GCL,KAD17-001,146.4,147.02,4,DIS,5,FALSE,PY,,,,,,0,Blackwell,3/20/2017
GCL,KAD17-001,147.02,161.27,3,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,161.27,165.42,3,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,165.42,167.67,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,167.67,173.08,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,173.08,186.83,3,DIS,0.5,FALSE,PY,,,,,"Disseminated pyrite throughout,appears to be slightly elevated in fuchsite domains",0,Blackwell,3/21/2017
GCL,KAD17-001,186.83,202.24,3,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,202.24,222.5,2,DIS,0.5,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,222.5,229.47,2,DIS,0.25,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,229.47,233.5,2,DIS,0.25,FALSE,,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,233.5,246,1,DIS,0.1,FALSE,PY,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-002,11.5,18.5,1,DIS,0.25,FALSE,PY,,,,,,0,Stubley,3/22/2017
GCL,KAD17-002,18.5,36,1,DIS,2,FALSE,PY,CP,,,,"Trace py and cpy, local concentration as aggregates and discontinuous stringer",0,Stubley,3/22/2017
GCL,KAD17-002,36,62.22,1,DIS,0.1,FALSE,PY,,,,,,0,Stubley,3/22/2017
GCL,KAD17-002,66.22,87.15,2,DIS,2,FALSE,PY,CP,,,,"•Weak disseminated pyrite, local thin pyrite wisps and rare sulphide aggregates",0,Stubley,3/22/2017
GCL,KAD17-002,87.15,91,1,DIS,0.1,FALSE,PY,,,,,"Local inclusions of Qtz-flooded, fuchsite altered wall rock <20cm contain trace sulphides (Py)",0,Stubley,3/22/2017
GCL,KAD17-002,91.1,116.12,1,BLP,3,FALSE,PY,CP,,,,"Weak to moderate disseminated/blebby to subhedral pyrite (~5% locally), local thin pyrite stringers.",0,Stubley,3/23/2017
GCL,KAD17-002,116.12,122.75,3,DIS,7,FALSE,PY,CP,AS,,,"Abundant disseminated to blebby pyrite up to ~7% locally. Possible trace arsenopyrite?
Darkness of quartz stringers may be associated with very fine grained sulphide but not easily visible",0,Unknown,3/23/2017
GCL,KAD17-002,122.75,128.2,1,DIS,0.1,FALSE,PY,,,,,,0,Unknown,3/23/2017
GCL,KAD17-002,128.2,160.06,3,DIS,3,FALSE,PY,,,,,"Abundant disseminated pyrite, ~2-3%, possible trace arsenopyrite.",0,Unknown,3/24/2017
GCL,KAD17-002,160.06,176,3,DIS,3,FALSE,PY,,,,,,0,Unknown,3/25/2017
GCL,KAD17-002,176,183.12,3,VN,3,FALSE,PY,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,183.12,211.84,2,DIS,2,FALSE,PY,,,,,"•	Disseminated pyrite favors foliation planes, up to 2%",0,Stubley,3/25/2017
GCL,KAD17-002,211.84,224,3,DIS,3,FALSE,,,,,,"•	Common disseminated pyrite, ~3%",0,Stubley,3/25/2017
GCL,KAD17-002,224,245.5,2,VN,4,TRUE,VG,PY,CP,,,"Disseminated and vein hosted py 4% and trace cpy
Discontinuous and patchy smokey quartz veins, contain local trace Au at 225.8 m.",0,Stubley,3/26/2017
GCL,KAD17-002,245.5,253.55,1,DIS,0.25,FALSE,PY,,,,,Common quartz stringers,0,Stubley,3/26/2017
GCL,KAD17-002,253.55,255.28,3,DIS,2,FALSE,PY,CP,,,,"Undulating, discontinuous quartz-carbonate band/veins, may contain pyrite
	Disseminated pyrite±chalcopyrite up to 2%",0,Stubley,3/26/2017
GCL,KAD17-002,255.28,256.78,1,DIS,0.1,FALSE,PY,,,,,trace pyrite,0,Stubley,3/26/2017
GCL,KAD17-002,256.78,257.76,3,DIS,2,FALSE,PY,,,,,,0,Stubley,3/26/2017
GCL,KAD17-002,257.76,265,1,DIS,0.1,FALSE,PY,,,,,"•	Trace pyrite",0,Stubley,3/26/2017
GCL,KAD17-002,265,270,4,DIS,5,FALSE,PY,CP,,,,"Common disseminated pyrite, trace chalcopyrite",0,Stubley,3/26/2017
GCL,KAD17-003,12,45.9,1,DIS,0.1,FALSE,PY,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,45.9,63.6,3,DIS,0.5,FALSE,PY,CP,AS,SP,,weak sulfides <1% disseminates mainly py with cpy and asp or tet as fine grained and diss,0,Unknown,11/18/2017
GCL,KAD17-003,63.6,72.6,3,DIS,0.1,FALSE,PY,AS,AS,,,,0,Unknown,11/18/2017
GCL,KAD17-003,72.6,76.25,1,DIS,0.01,FALSE,PY,,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,76.25,79.76,2,DIS,0.01,FALSE,PY,CP,,,,,0,Unknown,11/18/2017
GCL,KAD17-003,79.76,87.38,2,DIS,0.01,FALSE,PY,CP,,,,V weak mineralization,0,Unknown,11/18/2017
GCL,KAD17-003,87.38,108.26,3,DIS,2,FALSE,PY,CP,AS,,,fine grained diss sulfides py dominated,0,Unknown,11/18/2017
GCL,KAD17-003,108.26,116,3,DIS,0.1,FALSE,PY,CP,AS,,,,0,Unknown,11/18/2017
GCL,KAD17-003,116,120,4,DIS,0.5,FALSE,PY,AS,CP,,,,0,Unknown,11/18/2017
GCL,KAD17-003,120,122,4,DIS,0.5,TRUE,PY,AS,CP,,,"fine grained sulfides
VG as disseminations associated with teh slevages of qtz-carb veinlets",0,Unknown,11/18/2017
GCL,KAD17-003,122,128.2,4,DIS,0.5,FALSE,PY,AS,CP,,,similar to the VG interval and above,0,Unknown,11/18/2017
GCL,KAD17-003,128.2,144.4,NA,,,FALSE,,,,,,,0,Henderson,11/22/2017
GCL,KAD17-004,0,22,0,,,FALSE,,,,,,No sulphide/mineralization observed. (SR changed interval to match samples.  Interval was orig 0-22.8),0,Unknown,11/18/2017
GCL,KAD17-004,22,23,2,BLP,2,FALSE,PY,,,,,Minor fine grained disseminated pyrite occuring on margin of deformed slithers of translucent quartz vein. (SR changed interval to match samples.  Interval was orig 22.8-23.2),0,Unknown,11/18/2017
GCL,KAD17-004,23,58.4,0,,,FALSE,,,,,,No sulphide/mineralization observed,0,Unknown,11/18/2017
GCL,KAD17-004,58.4,80.28,1,DIS,0.1,FALSE,PY,,,,,"Trace, rare fine grained pyrite disseminations",0,Unknown,11/18/2017
GCL,KAD17-004,80.28,92.85,1,DIS,0.1,FALSE,PY,,,,,Fine grained euhedral dissem py noted within interval,0,Unknown,11/18/2017
GCL,KAD17-004,92.85,108,3,DIS,2,FALSE,PY,AS,,,,"~1-2% fine grain euhedral dissem py, rare trace dissem fine euhedral as",0,Unknown,11/18/2017
GCL,KAD17-004,108,115,0,,,FALSE,,,,,,No sulphide/mineralization observed,0,Unknown,11/18/2017
GCL,KAD17-004,115,133.1,3,DIS,2,FALSE,PY,CP,,,,Zone contains approx 2% dissem pu throughout with locally up to 5% dissem py.  Minor trace chalcopyrite.  Sulphides in some instances appear to be related to micro fractures/thin wispy chlorite.,0,Unknown,11/18/2017
GCL,KAD17-004,133.1,134.6,0,,,FALSE,,,,,,No sulphide/mineralization observed,0,Unknown,11/18/2017
GCL,KAD17-004,134.6,146.02,2,DIS,1,FALSE,PY,,,,,Disseminated pyrite occurs within mafic? Rocks within stope.,0,Unknown,11/18/2017
GCL,KAD17-004,146.02,146.75,1,DIS,0.1,FALSE,,,,,,"Vey rare, trace dissem py",0,Unknown,11/18/2017
GCL,KAD17-004,146.75,152.59,1,DIS,0.1,TRUE,,,,,,Trace pyrite throughout.  2 small occurrences of pinhead sized visible gold noted at 151.55m.  3-4mm fine gold noted at 151.80.  Locally up to 1% patchy fine pyrite.,0,Unknown,11/18/2017
GCL,KAD17-004,152.59,156,1,DIS,0.1,FALSE,PY,,,,,"Trace, disseminated py.  (SR changed original logged interval which was 152.59-157.25. Blocky ground)",0,Unknown,11/18/2017
GCL,KAD17-004,156,158,4,DIS,0.1,TRUE,VG,PY,AS,,,Numerous fine VG noted at 157.4.  Intervsal contains up to 1% disseminated py.  Local trace as.  (SR changed original logged interval which was 157.25-157.6. Blocky ground),0,Unknown,11/18/2017
GCL,KAD17-004,158,199.57,1,DIS,0.1,FALSE,PY,,,,,Trace disseminated fine grained py.  Local zones with pyrite stringers (up to 2%).  Patchy/localized zones with fg dissem py (appears to be replacement) (SR changed original logged interval which was 157.6-199.5. Blocky ground),0,Unknown,11/18/2017
GCL,KAD17-004,199.57,202,3,BLP,2,TRUE,,,,,,Pyrite occurs throughout interval as fine grained disseminations.  Appears to be related to fine fractures.  Single grain of visible gold noted at 199.78 m within qtz-feldspar porphyry.,0,Unknown,11/18/2017
GCL,KAD17-004,202,215.83,1,DIS,0.1,FALSE,,,,,,"Trace, fine disseminated pyrite throughout interval",0,Unknown,11/18/2017
GCL,KAD17-004,215.83,231.85,1,BLP,1,FALSE,,,,,,Trace pyrite across interval.  Locally up to 2% blebby/patchy pyrite as stringers/disseminations,0,Unknown,11/18/2017
GCL,KAD17-004,231.85,234.25,3,BLP,2,FALSE,PY,,,,,"Patchy, blebby, locally disseminated pyrite.  Reflecting selective replacement?",0,Unknown,11/18/2017
GCL,KAD17-004,234.25,249.3,1,DIS,0.1,FALSE,,,,,,Trace fine grained sulphide throughout.,0,Unknown,11/18/2017
GCL,KAD17-004,249.3,253,3,DIS,5,TRUE,PY,,,,,"Disseminates, locally patchy fine grained py.  Commonly associated with wispy chlorite (wallrock?)",0,Unknown,11/18/2017
GCL,KAD17-004,253,257.05,1,DIS,0.1,FALSE,PY,,,,,Trace dissem py.,0,Unknown,11/18/2017
GCL,KAD17-004,257.05,261.15,3,PAT,1,FALSE,PY,,,,,Local patchy/disseminated fg pyrite (up to 5%).  Total sulphide ~1% across interval,0,Unknown,11/18/2017
GCL,KAD17-004,261.15,298.88,3,DIS,2,FALSE,PY,,,,,Very fine grained disseminated pyrite throughout.  Locally up to 5%,0,Unknown,11/18/2017
GCL,KAD17-004,298.88,345,1,DIS,0.1,FALSE,,,,,,"Rare, trace disseminated py.  Locally up to 2% py 335.5-340.0",0,Unknown,11/18/2017
GCL,KAD17-005,16.5,21.64,0,,,FALSE,,,,,,,0,Unknown,11/18/2017
GCL,KAD17-005,21.64,26.57,1,DIS,,FALSE,PY,,,,,,0,Unknown,11/18/2017
GCL,KAD17-005,26.57,37.17,3,DIS,0.1,FALSE,PY,AS,CP,,,weakly disseminated sulfides with py-asp and cpy,0,Unknown,11/18/2017
GCL,KAD17-005,37.17,78.58,3,DIS,1,FALSE,PY,AS,CP,,,"diss and vein sulfides

44.2-44.54 qtz vein with c grn'd VG",0,Unknown,11/18/2017
GCL,KAD17-005A,21,24.46,0,,,FALSE,,,,,,,0,Sherlock,4/8/2017
GCL,KAD17-005A,24.46,28.09,2,DIS,0.1,FALSE,PY,,,,,,0,Sherlock,4/8/2017
GCL,KAD17-005A,28.09,36.96,2,DIS,1,FALSE,PY,AS,CP,,,,0,Sherlock,4/8/2017
GCL,KAD17-005A,36.96,85.68,3,DIS,2,FALSE,PY,AS,CP,,,diss sulfides,0,Sherlock,4/8/2017
GCL,KAD17-005A,85.68,147.6,1,DIS,0.01,FALSE,PY,,,,,"only sampled down to 90m
Started sampling at 142m",0,Sherlock,4/9/2017
GCL,KAD17-005A,147.6,177.5,3,DIS,1,FALSE,PY,TT,,,,pyrite and tet (?),0,Sherlock,4/9/2017
GCL,KAD17-005A,177.5,196.28,2,DIS,0.1,FALSE,,,,,,,0,Sherlock,4/9/2017
GCL,KAD17-005A,196.28,253.5,0,DIS,0.01,FALSE,PY,,,,,"no significnat mineralization
sample tp 200m",0,Sherlock,4/10/2017
GCL,KAD17-005A,253.5,296.63,0,,,FALSE,,,,,,"no significnat min, no sampling",0,Sherlock,4/10/2017
GCL,KAD17-006,0,13.63,0,,,FALSE,,,,,,Overburden,0,Robinson,4/10/2017
GCL,KAD17-006,13.63,20.15,1,DIS,0.1,FALSE,,,,,,trace disseminated pyrite noted in interval,0,Robinson,4/10/2017
GCL,KAD17-006,20.15,21.2,0,,,FALSE,,,,,,Quartz vein - no sulphide noted.,0,Robinson,4/10/2017
GCL,KAD17-006,21.2,23.61,1,DIS,0.1,FALSE,PY,,,,,"Trace, rare disseminated py throughout interval.",0,Robinson,4/10/2017
