Project,Hole,From_m,To_m,Bedding_Confidence,Bedding_Style,Bedding_Bed_Thickness,Bedding_Younging_Direction,Bedding_Angle_TCA,Bedding_Cleavage_Angle,Fabric1_Feature,Fabric1_Confidence,Fabric1_Intensity,Fabric1_Angle_TCA,Fabric2_Feature,Fabric2_Confidence,Fabric2_Intensity,Fabric2_Angle_TCA,Comments,Relog,Logger,Timestamp
GCL,KAD17-001,11.5,24.89,,,,,,,FOL,MOD,2,50,,,,,Weak foliation,0,Blackwell,3/16/2017
GCL,KAD17-001,28.93,32.26,,,,,,,FOL,HIGH,3,40,,,,,Irregular wavy chloritic foliation,0,Blackwell,3/17/2017
GCL,KAD17-001,32.26,42.85,,,,,,,FOL,MOD,2,10,,,,,,0,Blackwell,3/17/2017
GCL,KAD17-001,42.85,49.35,LOW,GRD,GRAD,DOWN,60,PLL,FOL,HIGH,3,70,,,,,"Zone from  @49.15-49.35m is either very intense foliation and black chloritic/sulfidic bands, or it could be a fault or a strongly sheared sedimentary sequence.",0,Blackwell,3/19/2017
GCL,KAD17-001,49.35,51.99,,,,,,,FOL,MOD,3,30,,,,,Foliation measured on elongate varioles and chloritic wisps,0,Blackwell,3/17/2017
GCL,KAD17-001,51.99,62.25,,,,,,,FOL,HIGH,3,20,,,,,Anastomosing foliation with variable intensity throughout the domain,0,Blackwell,3/18/2017
GCL,KAD17-001,62.25,66,,,,,,,FOL,HIGH,5,50,VN,HIGH,4,25,Smokey quartz veins cross cut the foliation fabric and ealier formed milky qtz-carb veins that are parallel to foliation.,0,Blackwell,3/18/2017
GCL,KAD17-001,66,66.8,,,,,,,FLT,HIGH,3,25,FOL,MOD,3,20,,0,Blackwell,3/18/2017
GCL,KAD17-001,66.8,78.38,LOW,DIF,,,40,OBL,FOL,HIGH,3,10,,,,,"From 68-69m, variolitic/perlitic bx domain has a shallow fabric than the overall foliation plane. Not sure if it is a separate domain or a possible primary bedding.",0,Blackwell,3/20/2017
GCL,KAD17-001,78.38,103.85,,,,,,,FOL,MOD,2,55,,,,,,0,Blackwell,3/20/2017
GCL,KAD17-001,103.85,131,,,,,,,FOL,LOW,2,50,VN,MOD,3,30,Dominantly massive with a weakly defined foliation. Veins appear to be oriented slighter steeper than the dominant foliation although neither are strongly defined.,0,Blackwell,3/20/2017
GCL,KAD17-001,131,136.94,,,,,,,FOL,MOD,3,70,VN,MOD,3,30,,0,Blackwell,3/20/2017
GCL,KAD17-001,136.94,145.44,,,,,,,FOL,MOD,2,50,VN,HIGH,2,40,,0,Blackwell,3/20/2017
GCL,KAD17-001,145.44,146.4,,,,,,,FOL,HIGH,3,40,VN,HIGH,2,80,Moderately foliated domain,0,Blackwell,3/20/2017
GCL,KAD17-001,146.4,147.02,,,,,,,VN,HIGH,3,50,,,,,,0,Blackwell,3/20/2017
GCL,KAD17-001,147.02,161.27,,,,,,,FOL,MOD,3,60,VN,MOD,3,40,"Ragged, non-distinct, foliation cross-cut by discontinuous and irregular white quartz-carb veins.",0,Blackwell,3/21/2017
GCL,KAD17-001,161.27,165.42,,,,,,,FOL,MOD,3,50,VN,HIGH,2,30,,0,Blackwell,3/21/2017
GCL,KAD17-001,165.42,167.67,,,,,,,FOL,MOD,3,55,VN,MOD,2,50,,0,Blackwell,3/21/2017
GCL,KAD17-001,167.67,173.08,,,,,,,FOL,MOD,2,50,VN,HIGH,2,40,,0,Blackwell,3/21/2017
GCL,KAD17-001,173.08,186.83,,,,,,,FOL,MOD,3,45,VN,MOD,3,40,,0,Blackwell,3/21/2017
GCL,KAD17-001,186.83,202.24,,,,,,,FOL,MOD,3,30,VN,MOD,2,30,Veins appear to form an oblique stockwork.,0,Blackwell,3/21/2017
GCL,KAD17-001,202.24,222.5,,,,,,,FOL,MOD,3,50,,,,,Foliation defined by alteration domains and veining,0,Blackwell,3/21/2017
GCL,KAD17-001,222.5,229.47,LOW,GRD,MED,DOWN,60,PLL,FOL,HIGH,3,50,,,,,Bedding downhole is a guess at best,0,Blackwell,3/21/2017
GCL,KAD17-001,229.47,233.5,HIGH,GRD,MED,DOWN,70,PLL,FOL,HIGH,3,50,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-001,233.5,246,LOW,GRD,THIN,,,NML,FOL,HIGH,4,40,,,,,,0,Blackwell,3/21/2017
GCL,KAD17-002,11.5,18.5,,,,,,,FLT,HIGH,5,30,,,,,,0,Stubley,3/22/2017
GCL,KAD17-002,18.5,36,,,,,,,FOL,HIGH,1,35,,,,,,0,Stubley,3/22/2017
GCL,KAD17-002,36,45,,,,,,,FLT,MOD,3,30,,,,,"Healed fault fabric/breccia locally, distorted sheared texture throughout.",0,Stubley,3/22/2017
GCL,KAD17-002,45,100,,,,,,,FOL,HIGH,2,35,,,,,Weakly defined foliation,0,Stubley,3/22/2017
GCL,KAD17-002,100,116.12,,,,,,,FOL,HIGH,3,20,,,,,Fabric slightly less steep tca,0,Stubley,3/23/2017
GCL,KAD17-002,116.2,122.75,,,,,,,FLT,HIGH,3,15,FOL,HIGH,3,15,silica healed fault fabric,0,Unknown,3/23/2017
GCL,KAD17-002,128.2,160.06,,,,,,,FOL,HIGH,3,5,,,,,,0,Unknown,3/24/2017
GCL,KAD17-002,160.06,176,,,,,,,FOL,HIGH,2,5,,,,,,0,Unknown,3/25/2017
GCL,KAD17-002,176,183.12,,,,,,,FOL,HIGH,2,10,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,183.12,211.84,,,,,,,FOL,HIGH,3,8,,,,,,0,Stubley,3/25/2017
GCL,KAD17-002,211.84,219,,,,,,,FLT,MOD,3,,,,,,"Probable fault zone, rubble and blocky gravelly core, strong silicification",0,Stubley,3/25/2017
GCL,KAD17-002,219,245.5,,,,,,,FOL,HIGH,2,15,,,,,,0,Stubley,3/26/2017
GCL,KAD17-002,245.5,270,,,,,,,FOL,HIGH,3,10,,,,,,0,Stubley,3/26/2017
GCL,KAD17-003,12,27,,,,,,,FOL,HIGH,1,45,,,,,massive to weakly foliated UM,0,Unknown,11/18/2017
