Project,Hole,From_m,To_m,Total_Pct_Vein,Vein1,Vein1_Pct,Vein1_Style,Vein1_Form,Vein1_Internal_Structure,Vein1_Pct_Sulphide,Vein1_Angle_TCA,Vein1_VG,Vein2,Vein2_Pct,Vein1_Grain_Size,Vein2_Style,Vein2_Form,Vein2_Internal_Structure,Vein2_Pct_Sulphide,Vein2_Angle_TCA,Vein2_VG,Vein3,Vein3_Pct,Vein3_Style,Vein3_Form,Vein3_Internal_Structure,Vein3_Pct_Sulphide,Vein3_Angle_TCA,Vein3_VG,Comments,Relog,Logger,Timestamp
ARM,RELOG_EC-11-03,2.22,82.4,9,QC,3,IDV,DEF,MAS,0,15,FALSE,QZ,5,,IDV,DEF,ZON,0.1,50,FALSE,QC,1,STR,DEF,MAS,0,60,FALSE,,0,Andrienko,2017-08-07
ARM,RELOG_EC-11-03,82.4,104.71,16,QC,10,STW,DEF,MAS,1,30,FALSE,CB,1,,IDV,DEF,VUG,0,55,FALSE,QZ,5,STW,DEF,ZON,0.5,30,FALSE,"Vein 1 is stockwork, angle variable 20-55 degrees TCA with calcite. Vein 2 is carbonate-calcite.",0,Andrienko,2017-08-07
ARM,RELOG_EC-11-03,104.71,113,6,CB,5,IDV,DEF,VUG,10,30,FALSE,QC,1,,STR,DEF,MAS,0,20,FALSE,,,,,,,,FALSE,"Vein 1 is carbonate calcite, very mineralized.",0,Andrienko,2017-08-07
ARM,RELOG_EC-11-03,113,150.12,6,QC,5,SHT,DEF,VUG,1,60,FALSE,QC,1,,STR,NOD,MAS,0,45,FALSE,,,,,,,,FALSE,,0,Andrienko,2017-08-07
ARM,RELOG_EC-11-03,150.12,171.58,3.5,QC,3,STW,DEF,MAS,0,30,FALSE,CC,0.5,,IDV,NOD,VUG,0,30,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-08
ARM,RELOG_EC-11-03,171.58,185.35,2,QC,2,STW,NOD,MAS,0,90,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-08
ARM,RELOG_EC-11-03,185.35,258.74,5,QC,3,IDV,ECH,MAS,0,40,FALSE,CC,1,,IDV,FOD,MAS,0,60,FALSE,QZ,1,STW,DEF,MAS,1,20,FALSE,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,258.74,287.14,5,QC,3,IDV,DEF,MAS,1,70,FALSE,QC,1,,IDV,FOD,MAS,10,30,FALSE,QC,1,IDV,BUD,MAS,5,10,FALSE,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,287.14,300.96,2,QC,1,STR,DEF,MAS,1,10,FALSE,QC,1,,STR,DEF,MAS,0,50,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,300.96,355.15,5,QC,2,IDV,NOD,MAS,1,70,FALSE,CC,2,,IDV,DEF,VUG,0.5,40,FALSE,QC,1,STW,BXD,MAS,0,30,FALSE,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,355.15,370.69,5,CC,2,IDV,ECH,VUG,1,20,FALSE,QC,2,,IDV,BXD,MAS,0,60,FALSE,QC,1,STR,ECH,MAS,0,30,FALSE,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,370.69,386.57,5,QC,3,IDV,BUD,MAS,1,50,FALSE,QC,1,,IDV,ECH,ZON,0.1,50,FALSE,QC,1,IDV,NOD,MAS,0.1,30,FALSE,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,386.57,396.19,2,QC,1,IDV,CRN,MAS,50,80,FALSE,QC,1,,IDV,DEF,MAS,0,80,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,396.19,420.46,10,CC,3,IDV,DEF,MAS,0.1,20,FALSE,QC,5,,IDV,DEF,MAS,0.1,80,FALSE,QC,2,STW,ECH,MAS,1,10,FALSE,"Calcite-carb veins up to 3 cm wide, individual quartz-carb veins up to 10 cm wide, stockwork veins include smoky grey quartz.",0,Shiroki,2017-08-09
ARM,RELOG_EC-11-03,420.46,430.5,21,QC,20,STW,FOL,MAS,0.1,10,FALSE,QC,1,,IDV,DEF,MAS,0,60,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,430.5,440.29,20,QC,15,STW,FOL,MAS,0.1,10,FALSE,QC,3,,IDV,FOL,MAS,0,70,FALSE,QC,2,IDV,FOD,MAS,0,60,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,440.29,442.68,2,QC,2,IDV,NOD,MAS,0,50,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,442.68,450,0.1,QC,0.1,STR,CRN,MAS,0,60,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,450,462,2,QC,1,IDV,NOD,ZON,0,50,FALSE,QC,1,,IDV,NOD,MAS,0,50,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,462,464.84,5,QC,2,IDV,NOD,ZON,0,70,FALSE,QC,2,,IDV,ECH,MAS,0,50,FALSE,QC,1,IDV,ECH,MAS,0,30,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,464.84,467.37,5,QC,2,IDV,DEF,MAS,0,20,FALSE,QC,3,,IDV,NOD,MAS,0,50,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,467.37,474.26,10,QC,5,IDV,DEF,ZON,1,70,FALSE,QC,5,,IDV,DEF,MAS,0,30,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,474.26,481.58,10,QC,5,IDV,DEF,MAS,1,50,FALSE,QC,5,,IDV,NOD,ZON,0,90,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-03,481.58,539.5,2,QC,1,IDV,DEF,VUG,0,20,FALSE,QC,1,,IDV,DEF,MAS,0,30,FALSE,,,,,,,,FALSE,,0,Shiroki,2017-08-10
ARM,RELOG_EC-11-05,3.05,36.44,1.5,QC,1,IDV,NOD,MAS,0.1,45,FALSE,QC,0.5,,IDV,NOD,MAS,,0,FALSE,,,,,,,,FALSE,,0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,36.44,38.95,2,QC,2,STW,NOD,MAS,0,90,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,single vein perpendicular to core,0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,38.95,45.77,0.5,QC,0.5,IDV,NOD,MAS,0.1,45,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,45.77,56.26,25,QC,25,STW,DEF,MAS,0,60,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,56.26,58.41,2,QC,2,STW,DEF,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"thin  veins, chaotic",0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,58.41,94.49,30,QC,30,STW,DEF,MAS,0.1,40,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,94.49,137.21,20,QC,20,STW,DEF,MAS,0.1,40,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,137.21,169.09,20,QC,20,STW,DEF,MAS,0,40,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Henderson,2017-08-15
ARM,RELOG_EC-11-05,169.09,198.12,0.5,QC,0.5,IDV,NOD,MAS,0,90,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Henderson,2017-08-15
GCL,KAD17-001,11.5,24.89,17,QC,10,STW,DEF,MAS,0.1,,FALSE,QZ,7,,STW,DEF,MAS,0,,FALSE,,,,,,,,FALSE,Irregular network of veining. Secondary set of quartz veins are smokey. Qtz-carb veins are locally ladder veins.,0,Blackwell,2017-03-16
GCL,KAD17-001,24.89,28.93,5.5,QC,5,STW,DEF,MAS,0.5,,FALSE,PY,0.5,,STR,DEF,MAS,100,,FALSE,,,,,,,,FALSE,QtzCarb vein stockworks are irregular and discontinuous. Blebby pyrite along the margin of ladder quartz veins. Discontinuous pyrite stringer veins present.,0,Blackwell,2017-03-17
GCL,KAD17-001,28.93,32.26,10,QC,10,IDV,FLT,MAS,0.1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Discontinous and irregular qtz-carb veins, locally have open space infill textures and weak fuchsite along marginis.",0,Blackwell,2017-03-17
GCL,KAD17-001,32.26,35.77,5,QC,5,IDV,FLT,MAS,0.1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-17
GCL,KAD17-001,35.77,42.85,10,QC,10,STW,NOD,COK,0.5,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Cpy-py in qtz carb vein siwth open space fill textures. Stockwork veins are only very weakly deformed and give the unit an apparent breccia texture.,0,Blackwell,2017-03-17
GCL,KAD17-001,42.85,49.35,10,QC,10,STW,DEF,MAS,0.5,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Irregular Qtz-Carb vein network,0,Blackwell,2017-03-17
GCL,KAD17-001,49.35,51.99,1,QC,1,IDV,DEF,MAS,0.1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-17
GCL,KAD17-001,51.99,62.25,25,QZ,5,IDV,FLT,MAS,0.1,,FALSE,QC,20,,STW,DEF,MAS,0.1,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-18
GCL,KAD17-001,62.25,66.8,50,QZ,20,IDV,FLT,MAS,5,25,TRUE,QC,10,,STW,DEF,MAS,0.1,,FALSE,QZ,20,STR,DEF,,,50,TRUE,"Smokey quartz veins that contain visible gold cross-cut milky white quartz veins. Thin stringers of quartz with black sulfide (<3mm) parallel to foliation, appear to have very fine visible gold. Expect some excellent  grades in this interval.",0,Blackwell,2017-03-27
GCL,KAD17-001,66.8,67.3,0,NONE,0,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-18
GCL,KAD17-001,67.3,78.38,1,QC,1,IDV,NOD,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Very minor thin white quartz-carb veins.,0,Blackwell,2017-03-20
GCL,KAD17-001,78.38,89.2,,NA,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Not applicable -void,0,Blackwell,2017-03-20
GCL,KAD17-001,89.2,103.85,1,QC,1,STW,NOD,MAS,,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Domain is vein poor.Qtz-carb veins are widely spaced sheeted.,0,Blackwell,2017-03-20
GCL,KAD17-001,103.85,117.5,15,QC,15,STW,DEF,MAS,0,30,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-27
GCL,KAD17-001,117.5,124.85,40,QC,40,IDV,DEF,MAS,0,30,TRUE,,,,,,,,,FALSE,,,,,,,,FALSE,White quartz carb veins that locally host visible gold. Irregular discontinuous veins. VG in Veins at 117.50-118.0 and from 122-122.3m.,0,Blackwell,2017-03-27
GCL,KAD17-001,124.85,131,15.5,QC,15,IDV,DEF,MAS,0,30,FALSE,SF,0.5,,STR,CRN,MAS,80,,FALSE,,,,,,,,FALSE,Thin wispy dark grey sulfide veins throughout this domain. With oxidized prismatic crystal. Quartz carb veins are milky white and irregular throughout this interval.,0,Blackwell,2017-03-27
GCL,KAD17-001,131,136.94,10,QC,10,IDV,DEF,MAS,0,30,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Irregular discontinuous milky white quartz-carb veins.,0,Blackwell,2017-03-27
GCL,KAD17-001,136.94,145.44,2,QC,2,IDV,NOD,MAS,0,40,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Sparse abundance of planar white quartz-carb veins, < 1-2cm wide.",0,Blackwell,2017-03-27
GCL,KAD17-001,145.44,146.4,2,QC,2,IDV,NOD,MAS,0,80,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Thin planar, milky white quartz-carb veins sparsely distributed.",0,Blackwell,2017-03-27
GCL,KAD17-001,146.4,147.02,10,QZ,5,STW,NOD,MAS,1,50,FALSE,QC,5,,STW,NOD,MAS,0,,FALSE,,,,,,,,FALSE,Thin wispy dark grey quartz veins and discontinuous quartz-carb veins.,0,Blackwell,2017-03-27
GCL,KAD17-001,147.02,161.27,11,QC,10,STW,DEF,MAS,0,40,FALSE,SF,1,,STR,CRN,MAS,90,,FALSE,,,,,,,,FALSE,Irregular discontinuous white quartz-carb veins and thin wispy dark sulfide stringer veins.,0,Blackwell,2017-03-27
GCL,KAD17-001,161.27,165.42,2,QC,2,IDV,NOD,MAS,0,30,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Planar, non-deformed white quartz-carb veins.",0,Blackwell,2017-03-27
GCL,KAD17-001,165.42,167.67,5,QC,5,IDV,DEF,MAS,0,50,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-27
GCL,KAD17-001,167.67,173.08,5,QC,5,IDV,NOD,MAS,0,40,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-27
GCL,KAD17-001,173.08,186.83,11,QC,10,STW,DEF,MAS,0,40,FALSE,QZ,1,,STW,DEF,MAS,0.1,,FALSE,,,,,,,,FALSE,"Planar to discontinuous white quartz carb veins, rare grey quartz veins may contain trace sulfides",0,Blackwell,2017-03-27
GCL,KAD17-001,186.83,202.24,10,QC,10,STW,DEF,MAS,0,30,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Continuous to the alteration infill,0,Blackwell,2017-03-27
GCL,KAD17-001,202.24,222.5,10,QC,10,IDV,NOD,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,QC veins are transitional to alteration replacement.,0,Blackwell,2017-03-21
GCL,KAD17-001,222.5,229.47,5,QC,5,IDV,DEF,MAS,0,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,,0,Blackwell,2017-03-21
