,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,184,184.90,2327,1866,1757,83,6.248836
1,KAD17_001,183x,184,873,1816,1144,90,6.252225
2,KAD17_001,183,183x,2786,1771,852,86,6.246076
3,KAD17_001,182,183,1272,1723,1911,82,6.25042
4,KAD17_001,181,182,2182,1643,1952,76,6.251303
5,KAD17_001,180x,181,771,1597,871,79,6.249721
6,KAD17_001,180,180x,2675,1521,1096,86,6.250604
7,KAD17_001,179x,180,1145,1473,1716,86,6.250972
8,KAD17_001,179,179x,3096,1419,259,83,6.259109
9,KAD17_001,178,179,2055,1392,1816,83,6.251745
10,KAD17_001,177x,178,738,1355,803,91,6.259219
11,KAD17_001,177,177x,2605,1293,1212,84,6.260617
12,KAD17_001,176x,177,1092,1252,1555,82,6.253068
13,KAD17_001,176,176x,3043,1163,372,89,6.267759
14,KAD17_001,175,176,1842,1134,2011,81,6.257488
15,KAD17_001,174x,175,583,1100,502,91,6.254617
16,KAD17_001,174,174x,2503,1038,1450,91,6.263305
17,KAD17_001,173x,174,1033,1003,1284,79,6.258924
18,KAD17_001,173,173x,2895,937,692,82,6.267392
19,KAD17_001,172,173,1609,908,1865,79,6.261243
20,KAD17_001,171x,172,499,878,356,80,6.25679
21,KAD17_001,171,171x,2432,787,1619,79,6.265699
22,KAD17_001,170x,171,916,754,1171,86,6.260839
23,KAD17_001,170,170x,2857,686,810,79,6.26106
24,KAD17_001,169,170,1469,655,1959,91,6.259402
25,KAD17_001,168x,169,424,629,126,90,6.241991
26,KAD17_001,168,168x,2300,560,1901,81,6.261575
27,KAD17_001,167x,168,795,522,942,91,6.25771
28,KAD17_001,167,167x,2736,426,1063,81,6.264557
29,KAD17_001,166,167,1248,398,1899,86,6.265625
30,KAD17_001,165,166,2171,302,2012,85,6.268312
31,KAD17_001,164x,165,674,274,745,87,6.264961
32,KAD17_001,164,164x,2625,189,1283,83,6.267097
33,KAD17_001,163.13,164,1136,167,1689,91,6.269784
