,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,206,206.55,2630,1875,1141,83,6.252039
1,KAD17_001,205x,206,1226,1825,1667,87,6.246592
2,KAD17_001,205,205x,3096,1776,292,87,6.249794
3,KAD17_001,204,205,1974,1737,1950,90,6.250236
4,KAD17_001,203x,204,582,1691,422,87,6.249978
5,KAD17_001,203,203x,2471,1651,1540,81,6.247805
6,KAD17_001,202x,203,1011,1599,1373,88,6.247917
7,KAD17_001,202,202x,2864,1525,635,90,6.253806
8,KAD17_001,201,202,1574,1488,1939,83,6.252113
9,KAD17_001,200x,201,430,1442,212,87,6.240737
10,KAD17_001,200,200x,2361,1403,1783,90,6.2562
11,KAD17_001,199x,200,934,1354,1062,86,6.245413
12,KAD17_001,199,199x,2738,1301,835,83,6.254359
13,KAD17_001,198,199,1367,1264,1898,83,6.251819
14,KAD17_001,197,198,2273,1146,1970,88,6.258555
15,KAD17_001,196x,197,808,1106,949,87,6.249794
16,KAD17_001,196,196x,2767,1047,987,90,6.257636
17,KAD17_001,195,196,1306,1007,1929,91,6.256974
18,KAD17_001,194,195,2237,923,1941,89,6.261096
19,KAD17_001,193x,194,823,884,887,84,6.256272
20,KAD17_001,193,193x,2629,796,1292,88,6.267355
21,KAD17_001,192x,193,1172,769,1615,86,6.256715
22,KAD17_001,192,192x,3114,691,309,88,6.269269
23,KAD17_001,191,192,1894,665,1950,89,6.260913
24,KAD17_001,190x,191,627,637,575,85,6.252151
25,KAD17_001,190,190x,2598,570,1348,86,6.265293
26,KAD17_001,189x,190,1158,541,1526,88,6.261722
27,KAD17_001,189,189x,3058,432,433,90,6.276375
28,KAD17_001,188,189,1716,415,1988,87,6.263268
29,KAD17_001,187x,188,538,387,352,92,6.27203
30,KAD17_001,187,187x,2415,311,1612,81,6.265109
31,KAD17_001,186x,187,963,282,1289,83,6.264852
32,KAD17_001,186,186x,2924,205,669,92,6.27192
33,KAD17_001,185,186,1523,181,1971,87,6.265146
34,KAD17_001,184.90,185,429,159,201,90,6.261354
