,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_001,245x,246,531,1692,338,84,6.269196
1,KAD17_001,245,245x,2318,1626,1803,86,6.260802
2,KAD17_001,244x,245,861,1595,1088,87,6.262974
3,KAD17_001,244,244x,2664,1494,849,81,6.270264
4,KAD17_001,243,244,1274,1474,1921,76,6.263821
5,KAD17_001,242,243,1776,1367,2704,85,6.263195
6,KAD17_001,241,242,2161,1268,1983,83,6.26776
7,KAD17_001,240x,241,740,1243,857,87,6.270264
8,KAD17_001,240,240x,2644,1135,1155,89,6.267282
9,KAD17_001,239x,240,1131,1112,1602,88,6.262606
10,KAD17_001,239,239x,2919,1032,507,91,6.278915
11,KAD17_001,238,239,1563,1014,1958,83,6.267171
12,KAD17_001,237x,238,452,996,254,88,6.279171
13,KAD17_001,237,237x,2343,919,1763,81,6.267981
14,KAD17_001,236x,237,863,897,998,90,6.27019
15,KAD17_001,236,236x,2681,778,1015,92,6.27181
16,KAD17_001,235,236,1238,758,1860,81,6.272546
17,KAD17_001,234,235,2040,660,1974,86,6.274459
18,KAD17_001,233x,234,675,637,660,89,6.271072
19,KAD17_001,233,233x,2544,551,1365,83,6.272619
20,KAD17_001,232x,233,1111,534,1499,88,6.271478
21,KAD17_001,232,232x,3011,417,507,91,6.274312
22,KAD17_001,231,232,1782,405,1944,97,6.265441
23,KAD17_001,230x,231,512,387,338,87,6.257672
24,KAD17_001,230,230x,2287,296,1623,85,6.272325
25,KAD17_001,229x,230,889,278,1165,85,6.274682
26,KAD17_001,229,229x,2751,189,846,85,6.27689
27,KAD17_001,228.00,229,1372,176,1902,86,6.272325
