,HoleID,FromM,ToM,cx,cy,width,height,rot
0,KAD17_003,94,95,1231,1828,1966,123,6.278878
1,KAD17_003,90,91,1434,1313,1888,129,6.281124
2,KAD17_003,89,89x,2422,1094,1474,115,0.011671
3,KAD17_003,87,88,1311,944,2007,116,0.006958
4,KAD17_003,86,87,2057,727,1981,111,0.008762
5,KAD17_003,85x,86,593,737,942,120,0.004307
6,KAD17_003,85,85x,2503,559,1062,121,0.006627
7,KAD17_003,84x,85,1030,575,1859,119,0.009756
8,KAD17_003,83,84,1806,351,2058,129,0.004307
9,KAD17_003,82x,83,434,361,669,130,0.019733
10,KAD17_003,82,82x,2461,188,1371,116,0.004307
11,KAD17_003,81.15,82,929,199,1682,116,0.01318
