Project_x,Hole,From_m,To_m,Alt_Group,Alt_Intensity,Alt_Style,Alt1,Alt1_Int,Alt2,Alt2_Int,Alt3,Alt3_Int,Alt4,Alt4_Int,Comments_x,Au_Best_ppm,Ag_Best_ppm,Cu_Best_ppm,Pb_Best_ppm,Zn_Best_ppm,RQD_m,RQD_Pct,Hardness,Weathering,Num_Fractures,Fractures_per_m,Fracture_Infill,Roughness,Shape,Comments_x,Colour,Oxidation,Foliation,QtzCarb_Replacement_Pct,Lith1_Group,Lith1,Lith1_Texture,Lith1_Bedding,Lith1_Volc_Txt1,Lith1_Volc_Txt2,Comments_y,Reading1,Reading2,Reading3,Avg_Reading,Comments_x,Min_Intensity,Min_Style,Min_Pct,VG,Min1,Min2,Min3,Comments_y,Bedding_Confidence,Bedding_Style,Bedding_Bed_Thickness,Bedding_Younging_Direction,Bedding_Angle_TCA,Bedding_Cleavage_Angle,Fabric1_Feature,Fabric1_Confidence,Fabric1_Intensity,Fabric1_Angle_TCA,Fabric2_Feature,Fabric2_Confidence,Fabric2_Intensity,Fabric2_Angle_TCA,Comments_x,Total_Pct_Vein,Vein1,Vein1_Pct,Vein1_Style,Vein1_Form,Vein1_Internal_Structure,Vein1_Pct_Sulphide,Vein1_Angle_TCA,Vein1_VG,Vein2,Vein2_Pct,Vein1_Grain_Size,Vein2_Style,Vein2_Form,Vein2_Internal_Structure,Vein2_Pct_Sulphide,Vein2_Angle_TCA,Vein2_VG,Vein3,Vein3_Pct,Vein3_Style,Vein3_Form,Vein3_Internal_Structure,Vein3_Pct_Sulphide,Vein3_Angle_TCA,Vein3_VG,Comments_y
GCL,KAD17-001,11.5,24.89,FuQtzCarb,2,PER,FU,2,QZ,3,CB,3,CL,3,,,,,,,,,,,,,,,,,GREY,TO,WK,5,UM,UM,MASS,,,,"Massive to weakly foliated unit with weak fuchsite alteration. Irregular dark grey domains (carb altn). Irregular stockwork of quartz carb veins, and smokey quartz veins. Trace to weak disseminated and blebby pyrite.",,,,,,2,DIS,0.25,FALSE,PY,CP,,Disseminated with minor pyrite blebs,,,,,,,FOL,MOD,2,50,,,,,Weak foliation,17,QC,10,STW,DEF,MAS,0.1,,FALSE,QZ,7,,STW,DEF,MAS,0,,FALSE,,,,,,,,FALSE,Irregular network of veining. Secondary set of quartz veins are smokey. Qtz-carb veins are locally ladder veins.
GCL,KAD17-001,24.89,28.93,Carb,2,PER,CB,2,MS,1,FU,1,,,,,,,,,,,,,,,,,,,GREY,UO,NON,1,UM,UM,GRAN,,,,"Grey coloured dominantly massive, fine-grained and graunular, non-foliated unit with very faint fuchsite alteration. Irregular facture pattern accentuated by darker grey alteration; possible relict jointing texture. Weak to sparse disseminated pyrite and chalcopyrite. Could be mafic or ultramafic unit (may be a dyke?)",,,,,,2,BLP,1,FALSE,PY,CP,,"Pods and disseminated pyrite and minor chalcopyrite, particularly enriched along margins of irregular and discontinuous quartz veins.",,,,,,,,,,,,,,,,5.5,QC,5,STW,DEF,MAS,0.5,,FALSE,PY,0.5,,STR,DEF,MAS,100,,FALSE,,,,,,,,FALSE,QtzCarb vein stockworks are irregular and discontinuous. Blebby pyrite along the margin of ladder quartz veins. Discontinuous pyrite stringer veins present.
GCL,KAD17-001,28.93,32.26,ChlQtzCarb,3,PER,CB,3,CL,3,QZ,2,TA,2,Pervasive Carb-Chl altn with minor talc on foliation planes and irregular blebby quartz veins,,,,,,,,,,,,,,,,GREY,TO,WK,5,UM,UM,GRAN,,,,Massive grey unit with a granular texture and grey carbonate altn accentuated along an irregular fracture pattern. Chlorite (+- talc) alteration along foliation planes. Irregular and blobby quartz-carb veins throughout. Weak to sparse disseminated pyrite.,,,,,,1,DIS,0.1,FALSE,PY,,,,,,,,,,FOL,HIGH,3,40,,,,,Irregular wavy chloritic foliation,10,QC,10,IDV,FLT,MAS,0.1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,"Discontinous and irregular qtz-carb veins, locally have open space infill textures and weak fuchsite along marginis."
GCL,KAD17-001,32.26,35.77,QtzCarb,2,PER,CB,3,QZ,2,AB,3,MS,2,Pervasive carbonate alteration +- sericite/chlorite. Irregular patchy strong albite alteration.,,,,,,,,,,,,,,,,GREY,TO,NON,0,UM,UM,APHAN,,,,Massive greyish-brown unit with an aphanitic texture and very small needles of rutile (<1mm). Pervasive carbonate alteration +- sericite/chlorite. Irregular patchy strong albite alteration. Trace disseminated pyrite.,,,,,,1,DIS,0.1,FALSE,PY,,,Trace disseminated pyrite.,,,,,,,,,,,,,,,,5,QC,5,IDV,FLT,MAS,0.1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-001,35.77,42.85,FuQtzCarb,3,PAT,CB,3,QZ,3,FU,2,CL,3,Irregular or patchy qtz-carb altn and veins. Weak fuchsite alteration.,,,,,,,,,,,,,,,,GREY,TO,NON,15,UM,UM,BRECCIA,,,,Massive grey to green unit with an aphanitic to granular texture and an apparent breccia texture accentuated by an irregular stockwork of quartz-carb veins/altn. Weak fuchsite alteration. Oxidation on fracture surfaces (goethite/limonite) throughout but particularly concentrated at ~ 36m. Weak to moderate disseminated pyrite an cpy. Gradational to lower albitic altered unit.,,,,,,3,DIS,1,FALSE,CP,PY,,Weak to moderate disseminated pyrite and cpy,,,,,,,,,,,,,,,,10,QC,10,STW,NOD,COK,0.5,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Cpy-py in qtz carb vein siwth open space fill textures. Stockwork veins are only very weakly deformed and give the unit an apparent breccia texture.
GCL,KAD17-001,42.85,49.35,Albite,3,FRC,AB,3,CB,3,CL,2,,,albite-carbonate alteration bands and chlorite altered bands.,,,,,,,,,,,,,,,,GREY,TO,MOD,10,UM,UM,BAND,,,,"Banded unit with light grey albite-carbonate alteration bands and chlorite altered bands. Strongly foliated and  folded bands and contorted domains. Irregular Qtz-Carb vein network. Weak to trace disseminated pyrite. 
 @49.15-49.35m: Very intense foliation and black chloritic/sulfidic bands, could be a fault or a strongly sheared sedimentary sequence.",,,,,,2,DIS,1,FALSE,PY,,,Dissseminated pyrite.,LOW,GRD,GRAD,DOWN,60,PLL,FOL,HIGH,3,70,,,,,"Zone from  @49.15-49.35m is either very intense foliation and black chloritic/sulfidic bands, or it could be a fault or a strongly sheared sedimentary sequence.",10,QC,10,STW,DEF,MAS,0.5,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,Irregular Qtz-Carb vein network
GCL,KAD17-001,49.35,51.99,Albite,4,PER,AB,4,CL,2,,,,,,,,,,,,,,,,,,,,,GREY,TO,ST,0,UM,UM,APHAN,,VAR,,"Grey to tan unit with a stongly albite-quartz alteration and thin irregular wisps of chlorite alteration along foliation planes. Possible varioles (< 5 mm elongate quartz nodules). Moderate, very fine-grained disseminated pyrite.",,,,,,3,DIS,1,FALSE,PY,,,,,,,,,,FOL,MOD,3,30,,,,,Foliation measured on elongate varioles and chloritic wisps,1,QC,1,IDV,DEF,MAS,0.1,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
GCL,KAD17-001,51.99,62.25,FuQtzCarb,3,PER,CB,4,QZ,3,FU,2,,,Grey to green ultramafic with dark grey domains of quartz-carbonate and weaker fuchsite alteration.,,,,,,,,,,,,,,,,GREY,TO,WK,20,UM,UM,BRECCIA,,,,Grey to green ultramafic with dark grey domains of quartz-carbonate and weaker fuchsite alteration. Apparent breccia texture has a strong orange oxidation around fragment margins. Irregular quartz-carb domains and vein network cross-cut by smokey quartz veins. Moderate to strong disseminated pyrite and chalcopyrite.,,,,,,3,DIS,2,FALSE,PY,CP,,,,,,,,,FOL,HIGH,3,20,,,,,Anastomosing foliation with variable intensity throughout the domain,25,QZ,5,IDV,FLT,MAS,0.1,,FALSE,QC,20,,STW,DEF,MAS,0.1,,FALSE,,,,,,,,FALSE,
GCL,KAD17-001,62.25,66.8,FuQtzCarb,4,PER,QZ,4,FU,4,CB,3,,,Strong fuchsite alteration of ultramafic and strong quartz alteration with thin black quartz veinsdefining the rock fabric.,,,,,,,,,,,,,,,,GREEN,UO,INT,20,UM,UM,BAND,,SPX,,Strongly foliated and banded ultramafic with thin dark (black) quartz veins (<3mm) parallel to foliation. Ultramafic domains have strong fuchsite alteration and a delicate fracture pattern that could be spinifex. Deformed milky quartz-carb veins crosscut by smokey quartz veins that host visible gold. Gold also observed rarely along the foliation planes. Abundant disseminated pyrite and chalcopyrite throughout.,,,,,,5,DIS,5,TRUE,VG,CP,PY,Abundant disseminated pyrite-chalcopyrite thoughout. Black sulfide disseminated throughout. Visible gold present in at least 4 localities.,,,,,,,,,,,,,,,,50,QZ,20,IDV,FLT,MAS,5,25,TRUE,QC,10,,STW,DEF,MAS,0.1,,FALSE,QZ,20,STR,DEF,,,50,TRUE,"Smokey quartz veins that contain visible gold cross-cut milky white quartz veins. Thin stringers of quartz with black sulfide (<3mm) parallel to foliation, appear to have very fine visible gold. Expect some excellent  grades in this interval."
GCL,KAD17-001,66.8,67.3,Qtz,5,PER,QZ,5,CL,2,,,,,Very strong siliceous alteration with a weak chlorite infill.,1.12,0.08,3.6,0.6,24,,,,,,,,,,,GREY,UO,NON,0,FLT,FAULT,BRECCIA,,,,"Highly siliceous, quartz-flooded breccia with a fault at the top contact.  Breccia texture defined by 60% angular siliceous altered fragments in a very fine grained siliceous matrix. Interpreted as a siliceous altered tectonic breccia.",0.32,0.039,0.152,0.1703,,0,,0,FALSE,,,,no observed mineralization,,,,,,,,,,,,,,,,0,NONE,0,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,FALSE,
